name,location,address,price,menu,sitdown,takeout,grubhub,bar,boba,coffee,bowls,pizza,dessert,asian,mexican,brunch,lunchdinner
Klondike Kate's Restaurant & Saloon,Main Street,"158 E Main St, Newark, DE 19711",$$,https://www.klondikekates.com/menus/,true,false,false,true,false,false,false,false,false,false,false,false,true
Starbucks,Main Street,"Main & Haines, 141 E Main St, Newark, DE 19711",$$,https://www.starbucks.com/menu,false,true,false,false,false,true,false,false,false,false,false,true,false
Little Goat Coffee Roasting Co,Haines Street,"16 Haines St, Newark, DE 19711",$,"https://www.google.com/maps/place/Little+Goat+Coffee+Roasting+Co./@39.6827851,-75.7475724,3a,75y/data=!3m8!1e2!3m6!1sAF1QipM6uw9OvO2FhLvFifv0Dk8X5-eEU3xGJ8jbePWC!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM6uw9OvO2FhLvFifv0Dk8X5-eEU3xGJ8jbePWC%3Dw203-h269-k-no!7i3072!8i4080!4m9!3m8!1s0x89c7aa3a9240a473:0x879fe547800d8d55!8m2!3d39.6827851!4d-75.7475724!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11csbq_d3d?entry=ttu",false,true,false,false,false,true,false,false,false,false,false,true,false
Chipotle Mexican Grill,Main Street,"136 E Main St, Newark, DE 19711",$,https://www.chipotle.com/order/#menu,false,true,false,false,false,false,true,false,false,false,true,false,true
Playa Bowls,Main Street,"134 E Main St, Newark, DE 19711",$$,https://www.playabowls.com/menu/,false,true,false,false,false,false,true,false,false,false,false,true,true
Tasty Wok,Main Street,"132 E Main St, Newark, DE 19711",$,https://www.google.com/maps/uv?pb=!1s0x89c7aa3a63a7a94f%3A0xd2ce37558f5cd3c5!3m1!7e131!4s!5sTasty%20Wok!15sCgIYIQ&hl=en&imagekey=!1e10!2sAF1QipMVOz1yPsmMkbx1dPpoab7EsMZv80NNCB4zjnXU,false,true,false,false,false,false,false,false,false,true,false,false,true
Home Grown Cafe,Main Street,"126 E Main St, Newark, DE 19711",$,https://www.homegrowncafe.com/menus/,true,false,false,true,false,false,false,false,false,false,false,false,true
Five Guys,Main Street,"137 E Main St, Newark, DE 19711",$$,https://www.fiveguys.com/menu,false,true,false,false,false,false,false,false,false,false,false,false,true
MOCHINUT,Main Street,"133 E Main St, Newark, DE 19711",$,https://www.mochinut.com/donut-menu,false,true,false,false,true,false,false,false,true,false,false,false,false
The Original Hot Bagels,Main Street,"131 E Main St, Newark, DE 19711",$,https://www.theoriginalhotbagels.com/menu,false,true,false,false,false,false,false,false,false,false,false,true,false
Roots Natural Kitchen,Main Street,"129 E Main St, Newark, DE 19711",$,https://www.rootsnaturalkitchen.com/wp-content/uploads/2023/06/NWK1-LTO.pdf,false,true,false,false,false,false,true,false,false,false,false,false,true
Oishii Sushi & Ramen,Main Street,"129 E Main St, Newark, DE 19711",$$,https://www.seamless.com/menu/oishii-sushi--ramen-129-e-main-st-newark/5856968,true,false,false,false,false,false,false,false,false,true,false,false,true
El Diablo Burritos,Main Street,"127 E Main St, Newark, DE 19711",$,https://static1.squarespace.com/static/58b57e8b2e69cffff969c6cd/t/6495a2447fc545193a5d66eb/1687528004279/Lunch_Dinner_Menu_2020_mech.pdf,false,true,false,false,false,false,true,false,false,false,false,false,true
Taverna Newark,Main Street,"121 E Main St, Newark, DE 19711",$,https://www.tavernapdg.com/main-street-food-and-drink/,true,false,false,false,false,false,false,false,false,false,false,false,true
Stone Balloon Ale House,Main Street,"115 E Main St, Newark, DE 19711",$$,https://www.stoneballoon.com/kitchen-bar/,true,false,false,false,false,false,false,false,false,false,false,false,true
Tbaar,Main Street,"108 E Main St, Newark, DE 19711",$,https://www.tbaar.com/menu,false,true,false,false,true,false,false,false,false,true,false,false,false
Chef Tan,Main Street,"108 E Main St, Newark, DE 19711",$$,https://www.beyondmenu.com/42960/newark/chef-tan-newark-19711.aspx?utm_source=satellite&utm_campaign=polaris&utm_medium=navbar-menu-link&utm_mode=light&utm_color=beyondmenu&utm_template=FORSYTHIA&puid=7Rge-RGa2va6kw0FcWVyA&ts=1688332421570&context=default,true,false,false,false,false,false,false,false,false,true,false,false,false
Hamilton's on Main,Main Street,"102 E Main St, Newark, DE 19711",$$,https://www.hamiltonsonmain.com/menus,true,false,false,false,false,false,false,false,false,false,false,false,true
Kung Fu Tea,Main Street,"93 E Main St, Newark, DE 19711",$,https://www.kungfutea.com/menu,false,true,false,false,true,false,false,false,false,true,false,false,false
Surreal Creamery,Main Street,"93 E Main St, Newark, DE 19711",$,https://www.surrealcreamery.com,false,true,false,false,true,false,false,false,true,false,false,false,false
UDairy Creamery Cafe,Main Street,"83 E Main St, Newark, DE 19711",$,https://www.udel.edu/content/dam/udelImages/canr/pdfs/creamery/Cafe-Catering-Menu.pdf,false,true,false,false,false,false,false,false,true,false,false,true,false
Caffe Gelato,Main Street,"90 E Main St near, Newark, DE 19711",$$$,https://www.caffegelato.net/menus/,true,false,false,false,false,false,false,false,false,false,false,false,true
The Peach Blossom Eatery,Main Street,"76 E Main St, Newark, DE 19711",$$,https://www.peachblossomeatery.com/menus/,true,false,false,false,false,true,false,false,false,false,false,true,false
Comma Cafe,Main Street,"74 E Main St, Newark, DE 19711",$,https://comma-cafe.square.site/?location=11ec57e4a92db29aa39dac1f6bbbcc9c#11,false,true,false,false,true,false,false,false,false,false,false,false,true
Indian Sizzler,Main Street,"72 E Main St, Newark, DE 19711",$$,"https://www.google.com/maps/place/Indian+Sizzler/@39.683443,-75.75058,3a,75y/data=!3m8!1e2!3m6!1sAF1QipPEKoIfyXWj3LgckStWL5F5nPnEuNL8th2Sae7f!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPEKoIfyXWj3LgckStWL5F5nPnEuNL8th2Sae7f%3Dw397-h298-k-no!7i4032!8i3024!4m9!3m8!1s0x89c7aa30594d52a7:0x6cdb6304994f70b0!8m2!3d39.683443!4d-75.75058!10e5!14m1!1BCgIYIQ!16s%2Fg%2F12612_7sk?entry=ttu",true,false,false,false,false,false,false,false,false,true,false,false,true
Insomnia Cookies,Main Street,"70 E Main St, Newark, DE 19711",$$,https://insomniacookies.com/menu/1096,false,true,false,false,false,false,false,false,true,false,false,false,false
QDOBA Mexican Eats,Main Street,"58 E Main St, Newark, DE 19711",$,https://order.qdoba.com/location/1718/menu,false,true,false,false,false,false,true,false,false,false,true,false,true
honeygrow,Main Street,"58 E Main St, Newark, DE 19711",$$,https://www.honeygrow.com/menu/,false,true,false,false,false,false,false,false,false,false,false,false,true
Coloful Yun Nan,Main Street,"59 E Main St, Newark, DE 19711",$$,"https://www.google.com/maps/place/Colorful+Yun+Nan/@39.6830978,-75.7509986,3a,74.2y/data=!3m8!1e2!3m6!1sAF1QipPPHGkj3MnOqwhh53WtGeJET7lOg6yABWxt62HO!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPPHGkj3MnOqwhh53WtGeJET7lOg6yABWxt62HO%3Dw397-h298-k-no!7i4031!8i3023!4m9!3m8!1s0x89c7abf358c06f2d:0x842f41c256829295!8m2!3d39.6830978!4d-75.7509725!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11h6lc7xk6?entry=ttu",false,true,false,false,false,false,false,false,false,true,false,false,true
Dunkin',Main Street,"51 E Main St, Newark, DE 19711",$,https://www.dunkindonuts.com/en/menu,false,true,false,false,false,true,false,false,false,false,false,true,false
Brew HaHa!,Main Street,"45 E Main St, Newark, DE 19711",$,https://www.toasttab.com/brewhahanewark/v3/,false,true,false,false,false,true,false,false,false,false,false,true,false
Grotto Pizza,Main Street,"45 E Main St #100, Newark, DE 19711",$$,https://www.grottopizza.com/menu/pizza-menu/,true,false,false,true,false,false,false,true,false,false,false,false,true
Snap Custom Pizza and Salads,Main Street,"44 E Main St, Newark, DE 19711",$,https://www.snapcustompizza.com/menus/,false,true,false,false,false,false,false,true,false,false,false,false,true
m2o Burgers & Salads,Main Street,"42 E Main St, Newark, DE 19711",$$,https://www.m2oburgers.com/newark-de-menus/,false,true,false,false,false,false,false,false,false,false,false,false,true
Newark Deli & Bagels,Main Street,"36 E Main St, Newark, DE 19711",$,https://www.newarkdeliandbagels.com/menu,false,true,false,false,false,false,false,false,false,false,false,true,false
Deer Park Tavern,Main Street,"108 W Main St, Newark, DE 19711",$$,https://www.deerparktavern.com/menu,true,false,false,true,false,false,false,false,false,false,false,false,true
